2024-09-29 03:34:05,019 - INFO - Using device: cuda (GPU: NVIDIA GeForce RTX 2080 SUPER, Memory: 7 GB)
{'loss': 4.3638, 'grad_norm': 4.929322242736816, 'learning_rate': 0.00029971193854689, 'epoch': 0.00533447135388883}
{'loss': 0.8508, 'grad_norm': 3.336009979248047, 'learning_rate': 0.00029939187026565666, 'epoch': 0.01066894270777766}
{'loss': 0.8635, 'grad_norm': 1.0998528003692627, 'learning_rate': 0.0002990718019844233, 'epoch': 0.01600341406166649}
{'loss': 0.7847, 'grad_norm': 0.9582214951515198, 'learning_rate': 0.00029875173370319, 'epoch': 0.02133788541555532}
{'loss': 0.8926, 'grad_norm': 0.5591301321983337, 'learning_rate': 0.0002984316654219567, 'epoch': 0.02667235676944415}
{'loss': 0.7268, 'grad_norm': 0.397726833820343, 'learning_rate': 0.0002981115971407233, 'epoch': 0.03200682812333298}
{'loss': 0.7674, 'grad_norm': 0.4989011287689209, 'learning_rate': 0.00029779152885949, 'epoch': 0.037341299477221805}
{'loss': 0.7859, 'grad_norm': 0.8530343770980835, 'learning_rate': 0.0002974714605782567, 'epoch': 0.04267577083111064}
{'loss': 0.7506, 'grad_norm': 0.6109569668769836, 'learning_rate': 0.0002971513922970233, 'epoch': 0.04801024218499947}
{'loss': 0.7494, 'grad_norm': 0.6746996641159058, 'learning_rate': 0.00029683132401579, 'epoch': 0.0533447135388883}
{'loss': 0.7484, 'grad_norm': 1.373429298400879, 'learning_rate': 0.00029651125573455664, 'epoch': 0.058679184892777125}
{'loss': 0.73, 'grad_norm': 0.7219337224960327, 'learning_rate': 0.0002961911874533234, 'epoch': 0.06401365624666595}
{'loss': 0.7215, 'grad_norm': 0.514202356338501, 'learning_rate': 0.00029587111917209, 'epoch': 0.06934812760055478}
{'loss': 0.7168, 'grad_norm': 0.8482757806777954, 'learning_rate': 0.0002955510508908567, 'epoch': 0.07468259895444361}
{'loss': 0.7002, 'grad_norm': 0.48242250084877014, 'learning_rate': 0.0002952309826096234, 'epoch': 0.08001707030833244}
{'loss': 0.6854, 'grad_norm': 0.644384503364563, 'learning_rate': 0.00029491091432839, 'epoch': 0.08535154166222128}
{'loss': 0.7106, 'grad_norm': 0.6360722184181213, 'learning_rate': 0.0002945908460471567, 'epoch': 0.09068601301611011}
{'loss': 0.7326, 'grad_norm': 0.9735292792320251, 'learning_rate': 0.00029427077776592335, 'epoch': 0.09602048436999894}
{'loss': 0.6897, 'grad_norm': 0.4916366934776306, 'learning_rate': 0.00029395070948469004, 'epoch': 0.10135495572388777}
{'loss': 0.6886, 'grad_norm': 0.5593202710151672, 'learning_rate': 0.0002936306412034567, 'epoch': 0.1066894270777766}
{'loss': 0.7492, 'grad_norm': 0.6867387890815735, 'learning_rate': 0.00029331057292222336, 'epoch': 0.11202389843166542}
{'loss': 0.6719, 'grad_norm': 0.37911689281463623, 'learning_rate': 0.00029299050464099005, 'epoch': 0.11735836978555425}
{'loss': 0.7448, 'grad_norm': 1.0197523832321167, 'learning_rate': 0.00029267043635975673, 'epoch': 0.12269284113944308}
{'loss': 0.6662, 'grad_norm': 1.0036603212356567, 'learning_rate': 0.00029235036807852337, 'epoch': 0.1280273124933319}
{'loss': 0.7494, 'grad_norm': 0.38091450929641724, 'learning_rate': 0.00029203029979729006, 'epoch': 0.13336178384722075}
{'loss': 3.9342, 'grad_norm': 2.192237138748169, 'learning_rate': 0.00029171023151605674, 'epoch': 0.13869625520110956}
{'loss': 1.095, 'grad_norm': 30.313697814941406, 'learning_rate': 0.00029139016323482343, 'epoch': 0.1440307265549984}
{'loss': 0.9191, 'grad_norm': 4.024453639984131, 'learning_rate': 0.00029107009495359007, 'epoch': 0.14936519790888722}
{'loss': 0.8114, 'grad_norm': 0.799182116985321, 'learning_rate': 0.00029075002667235675, 'epoch': 0.15469966926277606}
{'loss': 0.7867, 'grad_norm': 1.011875867843628, 'learning_rate': 0.00029042995839112344, 'epoch': 0.16003414061666488}
{'loss': 0.7698, 'grad_norm': 7.131943702697754, 'learning_rate': 0.0002901098901098901, 'epoch': 0.16536861197055372}
{'loss': 0.7422, 'grad_norm': 3.680527925491333, 'learning_rate': 0.00028978982182865676, 'epoch': 0.17070308332444256}
{'loss': 0.7645, 'grad_norm': 0.9917923212051392, 'learning_rate': 0.0002894697535474234, 'epoch': 0.17603755467833138}
{'loss': 0.7229, 'grad_norm': 2.6789910793304443, 'learning_rate': 0.0002891496852661901, 'epoch': 0.18137202603222022}
{'loss': 0.7507, 'grad_norm': 1.0045690536499023, 'learning_rate': 0.00028882961698495677, 'epoch': 0.18670649738610903}
{'loss': 0.7748, 'grad_norm': 1.727895736694336, 'learning_rate': 0.0002885095487037234, 'epoch': 0.19204096873999787}
{'loss': 0.7489, 'grad_norm': 6.281651020050049, 'learning_rate': 0.0002881894804224901, 'epoch': 0.1973754400938867}
{'loss': 0.717, 'grad_norm': 3.300361156463623, 'learning_rate': 0.0002878694121412568, 'epoch': 0.20270991144777553}
{'loss': 0.7978, 'grad_norm': 0.5299393534660339, 'learning_rate': 0.00028754934386002347, 'epoch': 0.20804438280166435}
{'loss': 0.7385, 'grad_norm': 5.556778430938721, 'learning_rate': 0.0002872292755787901, 'epoch': 0.2133788541555532}
{'loss': 0.7538, 'grad_norm': 2.2135684490203857, 'learning_rate': 0.0002869092072975568, 'epoch': 0.218713325509442}
{'loss': 0.7528, 'grad_norm': 0.5517907738685608, 'learning_rate': 0.0002865891390163235, 'epoch': 0.22404779686333084}
{'loss': 0.6974, 'grad_norm': 0.595964252948761, 'learning_rate': 0.0002862690707350901, 'epoch': 0.2293822682172197}
{'loss': 0.7395, 'grad_norm': 2.503847360610962, 'learning_rate': 0.0002859490024538568, 'epoch': 0.2347167395711085}
{'loss': 0.7262, 'grad_norm': 0.7103495001792908, 'learning_rate': 0.0002856289341726235, 'epoch': 0.24005121092499734}
{'loss': 0.7195, 'grad_norm': 2.20153546333313, 'learning_rate': 0.0002853088658913901, 'epoch': 0.24538568227888616}
{'loss': 0.7159, 'grad_norm': 1.198512077331543, 'learning_rate': 0.0002849887976101568, 'epoch': 0.250720153632775}
{'loss': 0.6844, 'grad_norm': 4.296773433685303, 'learning_rate': 0.00028466872932892345, 'epoch': 0.2560546249866638}
{'loss': 0.7146, 'grad_norm': 0.43889692425727844, 'learning_rate': 0.00028434866104769013, 'epoch': 0.26138909634055263}
{'loss': 0.6783, 'grad_norm': 1.746208906173706, 'learning_rate': 0.0002840285927664568, 'epoch': 0.2667235676944415}
{'loss': 0.7075, 'grad_norm': 4.0464372634887695, 'learning_rate': 0.00028370852448522346, 'epoch': 0.2720580390483303}
{'loss': 0.6604, 'grad_norm': 2.6880438327789307, 'learning_rate': 0.00028338845620399014, 'epoch': 0.27739251040221913}
{'loss': 0.7495, 'grad_norm': 0.41587793827056885, 'learning_rate': 0.00028306838792275683, 'epoch': 0.28272698175610794}
{'loss': 0.6974, 'grad_norm': 0.8025820851325989, 'learning_rate': 0.0002827483196415235, 'epoch': 0.2880614531099968}
{'loss': 0.7143, 'grad_norm': 0.6870042085647583, 'learning_rate': 0.0002824282513602902, 'epoch': 0.2933959244638856}
{'loss': 0.7199, 'grad_norm': 1.5762192010879517, 'learning_rate': 0.00028210818307905684, 'epoch': 0.29873039581777444}
{'loss': 0.6921, 'grad_norm': 0.8337505459785461, 'learning_rate': 0.00028178811479782353, 'epoch': 0.3040648671716633}
{'loss': 0.7604, 'grad_norm': 2.8039050102233887, 'learning_rate': 0.00028146804651659016, 'epoch': 0.3093993385255521}
{'loss': 0.7268, 'grad_norm': 1.513596534729004, 'learning_rate': 0.00028114797823535685, 'epoch': 0.31473380987944094}
{'loss': 0.7511, 'grad_norm': 2.988511085510254, 'learning_rate': 0.00028082790995412354, 'epoch': 0.32006828123332975}
