SGD Optimizer Training Started
SGD - Epoch [1/50], Loss: 2.2982, Train Acc: 17.24%
SGD - Epoch [2/50], Loss: 2.2822, Train Acc: 20.63%
SGD - Epoch [3/50], Loss: 2.2663, Train Acc: 23.17%
SGD - Epoch [4/50], Loss: 2.2502, Train Acc: 24.26%
SGD - Epoch [5/50], Loss: 2.2336, Train Acc: 24.79%
SGD - Epoch [6/50], Loss: 2.2162, Train Acc: 25.12%
SGD - Epoch [7/50], Loss: 2.1980, Train Acc: 25.34%
SGD - Epoch [8/50], Loss: 2.1794, Train Acc: 25.60%
SGD - Epoch [9/50], Loss: 2.1607, Train Acc: 25.92%
SGD - Epoch [10/50], Loss: 2.1423, Train Acc: 26.25%
SGD - Epoch [11/50], Loss: 2.1244, Train Acc: 26.60%
SGD - Epoch [12/50], Loss: 2.1073, Train Acc: 26.98%
SGD - Epoch [13/50], Loss: 2.0911, Train Acc: 27.48%
SGD - Epoch [14/50], Loss: 2.0755, Train Acc: 27.94%
SGD - Epoch [15/50], Loss: 2.0605, Train Acc: 28.54%
SGD - Epoch [16/50], Loss: 2.0461, Train Acc: 29.10%
SGD - Epoch [17/50], Loss: 2.0321, Train Acc: 29.59%
SGD - Epoch [18/50], Loss: 2.0186, Train Acc: 30.01%
SGD - Epoch [19/50], Loss: 2.0055, Train Acc: 30.41%
SGD - Epoch [20/50], Loss: 1.9927, Train Acc: 30.84%
SGD - Epoch [21/50], Loss: 1.9804, Train Acc: 31.20%
SGD - Epoch [22/50], Loss: 1.9685, Train Acc: 31.56%
SGD - Epoch [23/50], Loss: 1.9570, Train Acc: 31.95%
SGD - Epoch [24/50], Loss: 1.9459, Train Acc: 32.29%
SGD - Epoch [25/50], Loss: 1.9352, Train Acc: 32.63%
SGD - Epoch [26/50], Loss: 1.9250, Train Acc: 32.92%
SGD - Epoch [27/50], Loss: 1.9151, Train Acc: 33.22%
SGD - Epoch [28/50], Loss: 1.9056, Train Acc: 33.56%
SGD - Epoch [29/50], Loss: 1.8964, Train Acc: 33.84%
SGD - Epoch [30/50], Loss: 1.8876, Train Acc: 34.17%
SGD - Epoch [31/50], Loss: 1.8792, Train Acc: 34.39%
SGD - Epoch [32/50], Loss: 1.8711, Train Acc: 34.71%
SGD - Epoch [33/50], Loss: 1.8633, Train Acc: 34.91%
SGD - Epoch [34/50], Loss: 1.8558, Train Acc: 35.13%
SGD - Epoch [35/50], Loss: 1.8486, Train Acc: 35.36%
SGD - Epoch [36/50], Loss: 1.8417, Train Acc: 35.64%
SGD - Epoch [37/50], Loss: 1.8351, Train Acc: 35.83%
SGD - Epoch [38/50], Loss: 1.8286, Train Acc: 36.04%
SGD - Epoch [39/50], Loss: 1.8224, Train Acc: 36.21%
SGD - Epoch [40/50], Loss: 1.8164, Train Acc: 36.44%
SGD - Epoch [41/50], Loss: 1.8106, Train Acc: 36.60%
SGD - Epoch [42/50], Loss: 1.8049, Train Acc: 36.81%
SGD - Epoch [43/50], Loss: 1.7994, Train Acc: 36.93%
SGD - Epoch [44/50], Loss: 1.7941, Train Acc: 37.10%
SGD - Epoch [45/50], Loss: 1.7889, Train Acc: 37.28%
SGD - Epoch [46/50], Loss: 1.7838, Train Acc: 37.47%
SGD - Epoch [47/50], Loss: 1.7788, Train Acc: 37.62%
SGD - Epoch [48/50], Loss: 1.7740, Train Acc: 37.77%
SGD - Epoch [49/50], Loss: 1.7692, Train Acc: 37.89%
SGD - Epoch [50/50], Loss: 1.7645, Train Acc: 38.04%
Adam Optimizer Training Started
Adam - Epoch [1/50], Loss: 1.6312, Train Acc: 48.95%
Adam - Epoch [2/50], Loss: 1.4058, Train Acc: 54.41%
Adam - Epoch [3/50], Loss: 1.2811, Train Acc: 59.12%
Adam - Epoch [4/50], Loss: 1.1718, Train Acc: 62.53%
Adam - Epoch [5/50], Loss: 1.0809, Train Acc: 67.71%
Adam - Epoch [6/50], Loss: 0.9808, Train Acc: 70.57%
Adam - Epoch [7/50], Loss: 0.8863, Train Acc: 73.82%
Adam - Epoch [8/50], Loss: 0.7971, Train Acc: 77.28%
Adam - Epoch [9/50], Loss: 0.6976, Train Acc: 80.35%
Adam - Epoch [10/50], Loss: 0.6241, Train Acc: 83.19%
Adam - Epoch [11/50], Loss: 0.5352, Train Acc: 85.89%
Adam - Epoch [12/50], Loss: 0.4542, Train Acc: 87.22%
Adam - Epoch [13/50], Loss: 0.4046, Train Acc: 89.86%
Adam - Epoch [14/50], Loss: 0.3447, Train Acc: 91.06%
Adam - Epoch [15/50], Loss: 0.3006, Train Acc: 91.59%
Adam - Epoch [16/50], Loss: 0.2722, Train Acc: 91.46%
