Epoch [1/100], Loss: 2.1882, Train Acc: 53.90%, Test Acc: 54.29%
Epoch [2/100], Loss: 1.9389, Train Acc: 67.44%, Test Acc: 69.19%
Epoch [3/100], Loss: 1.7029, Train Acc: 73.52%, Test Acc: 74.83%
Epoch [4/100], Loss: 1.4821, Train Acc: 76.68%, Test Acc: 77.93%
Epoch [5/100], Loss: 1.2909, Train Acc: 78.53%, Test Acc: 79.62%
Epoch [6/100], Loss: 1.1350, Train Acc: 80.38%, Test Acc: 81.27%
Epoch [7/100], Loss: 1.0116, Train Acc: 81.89%, Test Acc: 82.69%
Epoch [8/100], Loss: 0.9149, Train Acc: 82.72%, Test Acc: 83.44%
Epoch [9/100], Loss: 0.8385, Train Acc: 83.36%, Test Acc: 84.19%
Epoch [10/100], Loss: 0.7775, Train Acc: 84.08%, Test Acc: 84.82%
Epoch [11/100], Loss: 0.7279, Train Acc: 84.48%, Test Acc: 85.12%
Epoch [12/100], Loss: 0.6870, Train Acc: 84.96%, Test Acc: 85.68%
Epoch [13/100], Loss: 0.6528, Train Acc: 85.37%, Test Acc: 85.98%
Epoch [14/100], Loss: 0.6239, Train Acc: 85.71%, Test Acc: 86.29%
Epoch [15/100], Loss: 0.5991, Train Acc: 86.01%, Test Acc: 86.69%
Epoch [16/100], Loss: 0.5776, Train Acc: 86.34%, Test Acc: 87.08%
Epoch [17/100], Loss: 0.5589, Train Acc: 86.50%, Test Acc: 87.16%
Epoch [18/100], Loss: 0.5424, Train Acc: 86.75%, Test Acc: 87.40%
Epoch [19/100], Loss: 0.5277, Train Acc: 87.00%, Test Acc: 87.56%
Epoch [20/100], Loss: 0.5145, Train Acc: 87.11%, Test Acc: 87.69%
Epoch [21/100], Loss: 0.5027, Train Acc: 87.31%, Test Acc: 87.90%
Epoch [22/100], Loss: 0.4921, Train Acc: 87.48%, Test Acc: 87.96%
Epoch [23/100], Loss: 0.4823, Train Acc: 87.62%, Test Acc: 88.15%
Epoch [24/100], Loss: 0.4735, Train Acc: 87.76%, Test Acc: 88.35%
Epoch [25/100], Loss: 0.4654, Train Acc: 87.91%, Test Acc: 88.45%
Epoch [26/100], Loss: 0.4579, Train Acc: 88.02%, Test Acc: 88.45%
Epoch [27/100], Loss: 0.4510, Train Acc: 88.20%, Test Acc: 88.62%
Epoch [28/100], Loss: 0.4446, Train Acc: 88.20%, Test Acc: 88.78%
Epoch [29/100], Loss: 0.4387, Train Acc: 88.38%, Test Acc: 88.89%
Epoch [30/100], Loss: 0.4332, Train Acc: 88.47%, Test Acc: 89.07%
Epoch [31/100], Loss: 0.4280, Train Acc: 88.52%, Test Acc: 89.13%
Epoch [32/100], Loss: 0.4231, Train Acc: 88.61%, Test Acc: 89.23%
Epoch [33/100], Loss: 0.4185, Train Acc: 88.67%, Test Acc: 89.36%
Epoch [34/100], Loss: 0.4142, Train Acc: 88.75%, Test Acc: 89.35%
Epoch [35/100], Loss: 0.4102, Train Acc: 88.81%, Test Acc: 89.49%
Epoch [36/100], Loss: 0.4064, Train Acc: 88.89%, Test Acc: 89.55%
Epoch [37/100], Loss: 0.4027, Train Acc: 88.92%, Test Acc: 89.67%
Epoch [38/100], Loss: 0.3993, Train Acc: 89.00%, Test Acc: 89.69%
Epoch [39/100], Loss: 0.3960, Train Acc: 89.06%, Test Acc: 89.69%
Epoch [40/100], Loss: 0.3929, Train Acc: 89.11%, Test Acc: 89.82%
Epoch [41/100], Loss: 0.3899, Train Acc: 89.16%, Test Acc: 89.87%
Epoch [42/100], Loss: 0.3870, Train Acc: 89.27%, Test Acc: 89.96%
Epoch [43/100], Loss: 0.3843, Train Acc: 89.34%, Test Acc: 90.03%
Epoch [44/100], Loss: 0.3817, Train Acc: 89.38%, Test Acc: 90.02%
Epoch [45/100], Loss: 0.3792, Train Acc: 89.46%, Test Acc: 90.07%
Epoch [46/100], Loss: 0.3768, Train Acc: 89.48%, Test Acc: 90.06%
Epoch [47/100], Loss: 0.3745, Train Acc: 89.56%, Test Acc: 90.19%
Epoch [48/100], Loss: 0.3722, Train Acc: 89.58%, Test Acc: 90.18%
Epoch [49/100], Loss: 0.3702, Train Acc: 89.64%, Test Acc: 90.20%
Epoch [50/100], Loss: 0.3680, Train Acc: 89.71%, Test Acc: 90.29%
Epoch [51/100], Loss: 0.3660, Train Acc: 89.73%, Test Acc: 90.25%
Epoch [52/100], Loss: 0.3641, Train Acc: 89.77%, Test Acc: 90.30%
Epoch [53/100], Loss: 0.3623, Train Acc: 89.82%, Test Acc: 90.31%
Epoch [54/100], Loss: 0.3604, Train Acc: 89.84%, Test Acc: 90.34%
Epoch [55/100], Loss: 0.3587, Train Acc: 89.89%, Test Acc: 90.36%
Epoch [56/100], Loss: 0.3570, Train Acc: 89.94%, Test Acc: 90.41%
Epoch [57/100], Loss: 0.3554, Train Acc: 89.99%, Test Acc: 90.48%
Epoch [58/100], Loss: 0.3537, Train Acc: 90.01%, Test Acc: 90.56%
Epoch [59/100], Loss: 0.3522, Train Acc: 90.06%, Test Acc: 90.56%
Epoch [60/100], Loss: 0.3507, Train Acc: 90.10%, Test Acc: 90.59%
Epoch [61/100], Loss: 0.3493, Train Acc: 90.14%, Test Acc: 90.66%
Epoch [62/100], Loss: 0.3478, Train Acc: 90.17%, Test Acc: 90.63%
Epoch [63/100], Loss: 0.3464, Train Acc: 90.21%, Test Acc: 90.71%
Epoch [64/100], Loss: 0.3450, Train Acc: 90.27%, Test Acc: 90.72%
Epoch [65/100], Loss: 0.3437, Train Acc: 90.28%, Test Acc: 90.76%
Epoch [66/100], Loss: 0.3424, Train Acc: 90.35%, Test Acc: 90.74%
Epoch [67/100], Loss: 0.3411, Train Acc: 90.37%, Test Acc: 90.81%
Epoch [68/100], Loss: 0.3399, Train Acc: 90.41%, Test Acc: 90.91%
Epoch [69/100], Loss: 0.3387, Train Acc: 90.39%, Test Acc: 90.87%
Epoch [70/100], Loss: 0.3374, Train Acc: 90.45%, Test Acc: 90.94%
Epoch [71/100], Loss: 0.3363, Train Acc: 90.49%, Test Acc: 90.87%
Epoch [72/100], Loss: 0.3352, Train Acc: 90.51%, Test Acc: 90.98%
Epoch [73/100], Loss: 0.3341, Train Acc: 90.52%, Test Acc: 91.03%
Epoch [74/100], Loss: 0.3330, Train Acc: 90.56%, Test Acc: 91.01%
Epoch [75/100], Loss: 0.3319, Train Acc: 90.56%, Test Acc: 90.99%
Epoch [76/100], Loss: 0.3309, Train Acc: 90.61%, Test Acc: 91.01%
Epoch [77/100], Loss: 0.3298, Train Acc: 90.63%, Test Acc: 91.11%
Epoch [78/100], Loss: 0.3288, Train Acc: 90.64%, Test Acc: 91.07%
Epoch [79/100], Loss: 0.3278, Train Acc: 90.67%, Test Acc: 91.12%
Epoch [80/100], Loss: 0.3268, Train Acc: 90.68%, Test Acc: 91.18%
Epoch [81/100], Loss: 0.3259, Train Acc: 90.70%, Test Acc: 91.17%
Epoch [82/100], Loss: 0.3249, Train Acc: 90.75%, Test Acc: 91.20%
Epoch [83/100], Loss: 0.3240, Train Acc: 90.76%, Test Acc: 91.22%
Epoch [84/100], Loss: 0.3230, Train Acc: 90.79%, Test Acc: 91.27%
Epoch [85/100], Loss: 0.3222, Train Acc: 90.78%, Test Acc: 91.24%
Epoch [86/100], Loss: 0.3213, Train Acc: 90.80%, Test Acc: 91.29%
Epoch [87/100], Loss: 0.3204, Train Acc: 90.82%, Test Acc: 91.40%
Epoch [88/100], Loss: 0.3195, Train Acc: 90.81%, Test Acc: 91.34%
Epoch [89/100], Loss: 0.3187, Train Acc: 90.89%, Test Acc: 91.35%
Epoch [90/100], Loss: 0.3179, Train Acc: 90.90%, Test Acc: 91.39%
Epoch [91/100], Loss: 0.3170, Train Acc: 90.89%, Test Acc: 91.37%
Epoch [92/100], Loss: 0.3162, Train Acc: 90.94%, Test Acc: 91.46%
Epoch [93/100], Loss: 0.3154, Train Acc: 90.96%, Test Acc: 91.44%
Epoch [94/100], Loss: 0.3146, Train Acc: 90.96%, Test Acc: 91.45%
Epoch [95/100], Loss: 0.3138, Train Acc: 90.98%, Test Acc: 91.55%
Epoch [96/100], Loss: 0.3129, Train Acc: 90.99%, Test Acc: 91.62%
Epoch [97/100], Loss: 0.3122, Train Acc: 91.02%, Test Acc: 91.61%
Epoch [98/100], Loss: 0.3115, Train Acc: 91.05%, Test Acc: 91.60%
Epoch [99/100], Loss: 0.3107, Train Acc: 91.07%, Test Acc: 91.58%
Epoch [100/100], Loss: 0.3100, Train Acc: 91.07%, Test Acc: 91.65%
Final Test Accuracy: 91.65%
